"","Country","Psychological care","Psychiatric care","Breast augmentation","Electrolysis / Laser Hair Removal","Facial Feminisation Surgery","HRT (Oestrogen)","HRT (Testosterone)","Hysterectomy","Mastectomy","Metoidioplasty","Orchiectomy","Ovariectomy (aka oopherectomy)","Phalloplasty","Tracheal shave","Vaginoplasty","Vocal training"
"1","Austria","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1"
"2","Belgium","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"3","Bulgaria","1","1","1","3","3","1","1","2","2","3","3","2","2","3","2","3"
"4","Croatia","1","1","1","1","2","1","1","1","1","2","3","2","2","1","2","1"
"5","Cyprus","1","1","3","3","3","1","1","2","1","2","2","2","2","3","2","3"
"6","Czechia","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","Denmark","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1"
"8","Estonia","1","1","1","1","3","1","1","1","2","2","2","3","2","1","2","1"
"9","Finland","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1"
"10","France","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","Germany","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12","Greece","1","1","1","2","3","1","1","1","1","3","1","1","1","3","1","1"
"13","Hungary","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1"
"14","Ireland","1","1","1","1","1","1","1","1","2","2","1","1","2","1","2","1"
"15","Italy","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16","Latvia","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"17","Lithuania","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2"
"18","Luxembourg","1","1","1","1","1","1","1","3","3","3","1","1","3","3","3","1"
"19","Malta","1","1","1","1","2","1","1","1","1","2","1","1","2","2","2","1"
"20","Netherlands","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"21","Poland","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","3"
"22","Portugal","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"23","Romania","1","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2"
"24","Slovakia","1","1","2","1","1","1","1","1","1","3","3","1","2","1","2","1"
"25","Slovenia","1","1","1","2","2","1","1","1","1","2","2","2","2","1","2","1"
"26","Sweden","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1"
"27","Spain","1","1","1","3","3","1","1","1","1","1","1","1","1","1","1","1"
